segment,delta0,theta0,alpha0,beta0,gamma0,TBR0,delta1,theta1,alpha1,beta1,gamma1,TBR1,delta2,theta2,alpha2,beta2,gamma2,TBR2,delta3,theta3,alpha3,beta3,gamma3,TBR3,Mean_TBR,label,file
32,0.028780620759312148,0.015023846699853703,0.10486176141041967,0.05227143925201673,0.1146585221349068,0.02837312624319439,0.15606113218715476,0.09754673319988047,0.22072203693950743,0.22111679775998386,0.07582010082699174,0.09403577615499936,0.07218479417907667,0.061297148702973495,0.4119313077464426,0.13645210639172098,0.27871084377733635,0.09765538464705713,0.0036573380383062007,0.015852065349882913,0.019863712058147697,0.06694529730198624,0.4208010012006636,0.016671851763753544,0.02968739614082007,EC,EC.csv
33,0.00973958229752248,0.02812755723317347,0.054585388224401746,0.04818600796243651,0.10667783073941507,0.05319140057521012,0.15840649512365898,0.06648037352726739,0.5299535590669563,0.1403994792677768,0.18941505117933982,0.09674605207711115,0.04645943523484638,0.034451490209901875,0.44993652779558596,0.09679609828750899,0.26033567668372615,0.07209881883852795,0.007247121949935264,0.010817678594294408,0.01997499416227535,0.08724954564681504,0.4103569218612046,0.008698088368930367,0.025626800291969766,EC,EC.csv
34,0.007762996916837841,0.02416792187945152,0.05283549259339469,0.08032420383311642,0.0,0.031372427348972796,0.1798201502400266,0.05968776063695691,0.4719773281696381,0.41570380203442403,0.2025293073952154,0.02576669017133084,0.04047277292745692,0.06464116067340517,0.47736199857258504,0.23428695944011207,0.20682297904536368,0.06757554317462944,0.006858879417322482,0.010986616409035277,0.031204600237265713,0.060488984872689625,0.34831308558237967,0.01277245683598312,0.0152056845787185,EC,EC.csv
35,0.0007082512877971039,0.009207631197701318,0.09402085126075467,0.04043062474598204,0.04938780023026325,0.022562585290368142,0.032923620268007665,0.14093067223487843,0.14525905218377877,0.5684578162184063,0.12515476780663853,0.049570197843606945,0.006511986820954304,0.10646457623304025,0.04129853328590308,0.41936486900777686,0.21320604397741594,0.0663316701310256,0.0014875421412753169,0.004698069117100353,0.06537185842334758,0.0641601983915009,0.2705265097509044,0.005222654398910716,0.009646083704944627,EC,EC.csv
36,0.0013218815146845194,0.0774598781850211,0.06190347890548181,0.048938603043998635,0.1457063600521757,0.13873194176878875,0.08273848833272633,0.14299733999830738,0.3987245228565759,0.3836567343697813,0.3204403290185631,0.08077477431191178,0.009257928790770567,0.10797306301109487,0.2564695566410721,0.21812941116857776,0.37343898497201566,0.11797556977487182,0.0011271522911980374,0.019288564063082037,0.03031198361892394,0.08110731310129,0.35614973162467106,0.0168799850221816,0.054436687954547106,EC,EC.csv
37,0.006760407645590872,0.011426961029496998,0.042028672326378184,0.03880017533283779,0.09692078888129878,0.027653531939512994,0.14424993321671242,0.09855986317053006,0.12544515401356024,0.32848204463179387,0.2700094767851572,0.06393718217813152,0.017535933242325403,0.17255325128519058,0.23335971947265666,0.30602898290169495,0.27241524000154166,0.14129823019491455,0.004423103993342492,0.014789004342426281,0.013806534269141857,0.09673895230872381,0.42326888275903146,0.010787742188685934,0.02594974981359778,EC,EC.csv
38,0.004871390860177819,0.03951701865089485,0.04509503601300184,0.05847972291771049,0.04847794064685686,0.06418394671219403,0.08873661809608578,0.3710890382737796,0.1206096599656269,0.2271654557008785,0.11130886143142825,0.34152823822760836,0.02266519976512758,0.3581751204176522,0.1638999846572355,0.248450862053554,0.1422468571703705,0.3470394192816021,0.003914298638300073,0.012009058311417553,0.01351199481136457,0.1118434478772053,0.2803783377783606,0.0074267464857670105,0.08874481662586768,EC,EC.csv
39,0.002126247575328968,0.021576927172660843,0.02569804753269061,0.042056969295301824,0.09618557055413719,0.04559529183743163,0.01572298287051727,0.13617755479695776,0.035324165141032246,0.5275166744536682,0.26605646004053785,0.0524190165945501,0.009465651510381236,0.07376298380816945,0.10186327242970318,0.32166104367529647,0.40955369130179853,0.05857827494784761,0.003262230461376126,0.011052940017934915,0.01465105662746443,0.06887357674119148,0.4094844917674541,0.011318906957726272,0.019239933038562855,EC,EC.csv
40,0.0013962907209423133,0.03187478565981018,0.08928644161946685,0.03485952553083539,0.0779995086170832,0.07305567861659464,0.03843427337817354,0.0659626129926609,0.2784731961939369,0.3715683055295935,0.21266827865003046,0.03483600418079032,0.0024594725677268914,0.09262151550703455,0.23449212804883263,0.3134633029123302,0.2916102744471745,0.07490828975119772,0.0022829549991990883,0.013874403138341776,0.03879518792752841,0.07172200576607217,0.28591499949463767,0.013655061715276307,0.026911352742123328,EC,EC.csv
41,0.010146145871673245,0.15271063338252658,0.0679081109427617,0.044217791529163525,0.14051154955895384,0.28754134391893116,0.12643639560235354,0.37085519230988495,0.26344911167162166,0.26501880972428893,0.5453222663559814,0.3028375798575834,0.02204214621496777,0.4604013780090189,0.27072441193602653,0.19669516404560716,0.5717304727175132,0.5364124744739297,0.008285948603565841,0.0695519605974975,0.03524474081402297,0.09875963454861224,0.44027505556719476,0.05111252798712372,0.19139823766222702,EC,EC.csv
42,0.1299509507615369,0.18942571108408263,0.19276888272728368,0.07115022928477138,0.11737104644124831,0.2597008873312848,0.2211966467670314,0.3136261308380316,0.31644101311667083,0.46639898558429327,0.34289816690521774,0.15463044967825065,0.07949093253203754,0.41350467516643896,0.11657574181025199,0.3274216806991382,0.365426397385264,0.3178664308424195,0.11109205787686244,0.09550952083162535,0.0714881193204812,0.15817424395702495,0.3398714182024109,0.04490790325588153,0.13662246755175872,EC,EC.csv
43,0.01452993500619967,0.05515767359182858,0.10728119599418617,0.018571946311445247,0.16129625957155969,0.16520212710481796,0.045133582950520335,0.34577486185551864,1.0000000000000002,0.33064317753092687,0.14264045273464337,0.23481873828014402,0.024399676268485118,0.3201290681350974,0.6581752849882689,0.19772384650692637,0.32119445176566996,0.3723830290525404,0.010896381379443964,0.032644117304489156,0.03964275698955159,0.049630037369950794,0.6007444810684586,0.04472270511019252,0.13218094429023985,EC,EC.csv
44,0.006440623548974983,0.0,0.0640893666229768,0.031543088737522915,0.08225472021675535,0.005891904932481721,0.12489788200677802,0.09808164969725647,0.283318475663319,0.44013566151552785,0.21916716059919683,0.044508881470343625,0.013397474028644907,0.09948191025240995,0.33206944026910845,0.3361442664547543,0.3374249336470257,0.07560140362300069,0.0032135353566782147,0.0008737261659182408,0.02019294204746521,0.0645146618408243,0.466473693907493,0.00105018026668661,0.0029665341020906517,EC,EC.csv
45,0.0035588105798178274,0.004032885226180291,0.07459860307662335,0.022036365438383585,0.16988697846787337,0.01851079608326337,0.06648935257840098,0.1594231212922154,0.6976820852528931,0.30532935458113264,0.2563102622744697,0.11406319351928942,0.03674274664755007,0.1785667179663535,0.7866354292841173,0.20918252473830468,0.4356234270697458,0.1999718141776042,0.00174385198197311,0.008413352212911677,0.051156954422503384,0.05286797156669479,0.519224834218383,0.011204186715870255,0.037266460021991014,EC,EC.csv
46,0.0031995093557260733,0.03196674943248219,0.11866010049351308,0.03390421206276101,0.04876717604062834,0.07441717791916526,0.0680679036223625,0.1050430004882795,0.11220345499533567,0.28308114251705085,0.12466125934179632,0.07998700236037928,0.03177966846954333,0.05646153995673646,0.2565754980876837,0.236251863240047,0.12700797651722556,0.05890490413502158,0.005818993473600797,0.017835248696047048,0.04479543890744301,0.05790067667830541,0.29789793482737187,0.021459688975500536,0.0374701046706985,EC,EC.csv
47,0.0185636098939164,0.034076984601897724,0.02776809092973105,0.06032161506442457,0.07527562949156495,0.05448142479160837,0.2499015900926954,0.417155875208558,0.17533093934340657,0.1955513477923462,0.05949401068254194,0.4278475332239846,0.09803068984199917,0.3137022728602431,0.3045917039749459,0.27003353239469335,0.0891176315307775,0.28405224717193744,0.014255205550098307,0.02427745349439493,0.011508285269701836,0.09396037614360749,0.37580740562873716,0.018468571866920275,0.09920879723525616,EC,EC.csv
48,0.009683763108070774,0.026037681666887066,0.025725988085529894,0.06107703055517433,0.05904740363612572,0.04183076168947118,0.042470679498388994,0.010762626522806483,0.19162785460846848,0.22562674846620015,0.3241937383048108,0.012714744746895455,0.021403479787093033,0.03983393863675224,0.23088795827090802,0.2180840853672532,0.15639341635737353,0.04516093325814424,0.006284166512184356,0.01642112215296143,0.02054469448769732,0.10774031708130756,0.32694350239562475,0.01075493026337005,0.011550235466746928,EC,EC.csv
